Feature,Mutual_Info
BMI_Glucose,0.6931709690344254
Avg_Glucose,0.6684196627302784
BMI,0.23161567549664008
Age_Glucose,0.09172769753371912
Vascular_Risk,0.06259985143547464
Glucose_Category,0.036552955340639404
Hypertension,0.032807255668484414
Heart_Disease,0.02710120384665049
Age,0.023792017615276162
Ever_Married,0.02242760281799039
Work_Type,0.020101472767856787
Age_Group,0.011576132603728473
Gender,0.007323496562101628
Residence_Type,0.006109701488747454
BMI_Category,0.001931165500353993
Smoking_Status,0.0015518393191267243
