Feature,Mutual_Info
Chol_HR_Ratio,0.6695378312110835
Cholesterol,0.3916180445777384
Max_Heart_Rate,0.22970441944222442
ST_Risk,0.20480112405451134
Vascular_Findings,0.19916646945177519
ST_Depression,0.17473568835728037
Thalassemia,0.15552584626445087
Chest_Pain_Type,0.14625265279593092
Num_Vessels,0.12138522694381093
Exercise_Angina,0.10070156987020606
Resting_BP,0.09915262615139797
ST_Slope,0.0835289756983606
Heart_Rate_Reserve,0.06225480115439597
Rest_ECG,0.020460156662308382
BP_Category,0.012747641463076498
Cholesterol_Category,0.00711166360296045
Gender,0.004860382790506046
Age,0.0
Fasting_Blood_Sugar,0.0
Age_Group,0.0
