Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Brier,CV ROC-AUC,CV Std,Suspicious
Logistic Regression,68.1434,70.562,62.1416,66.0847,74.0926,72.6906,0.2071,75.2274,0.2385,False
Random Forest,68.4861,72.0175,60.3529,65.6712,76.8275,76.5006,0.206,77.5694,0.233,False
Gradient Boosting,70.0281,73.341,62.8277,67.6785,78.6638,77.6628,0.1943,79.5042,0.3415,False
XGBoost,69.9914,73.3448,62.7052,67.609,78.8423,77.8752,0.1931,79.6844,0.2178,False
