Feature,Mutual_Info
BMI_Age_Interaction,0.08965996723355785
Cardio_Risk_Index,0.08876034428886714
General_Health,0.07906779650653806
High_BP,0.07096688867100975
Age,0.045591487683384946
BMI_Category,0.04559063116884787
BMI,0.04558482043911205
Age_Group,0.040447833789649
High_Cholesterol,0.040372172240494164
Difficulty_Walking,0.03570165277886872
Physical_Health_Days,0.024439815693523714
Heart_Disease,0.023884675630566843
Physical_Activity,0.01656984564300923
Chol_Check,0.01622163885305339
Health_Burden,0.013177019708950466
Veggies,0.0101161040872908
Lifestyle_Index,0.008723681884043932
Smoker,0.008463547353758427
Fruits,0.00783522650102153
Gender,0.004570633838167026
Stroke,0.004089822065725279
Heavy_Alcohol,0.003317039840587066
Mental_Health_Days,0.0003819880008553156
