Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Brier,CV ROC-AUC,CV Std,Suspicious
Logistic Regression,84.5873,82.815,90.6316,86.5472,90.6515,89.7322,0.1171,91.309,0.4638,False
Random Forest,86.4299,85.6335,90.3509,87.929,94.2531,94.719,0.111,94.8132,0.2708,False
Gradient Boosting,88.2917,86.0129,93.8596,89.7651,95.8475,96.3302,0.0851,96.404,0.2078,False
XGBoost,88.3109,87.3625,91.9298,89.588,95.4146,95.8937,0.0867,95.9904,0.236,False
